Case name,Alt name,source URL,summary,summary / issue,category,date (m),year,month as number,Meta...,The Board...,principle,outcome,note,no of user complaints (if listed),full abstract ,FB category,Controversy (relates to no. of google news stories),click-through link,ID,date
Altered Video of President Biden,Biden the Pedophile,https://oversightboard.com/decision/FB-GW8BY1Y3/,A video  edited to portray U.S. President Joe Biden as inappropriately touching his adult granddaughter’s chest was not removed from FB.,"A video that was edited to make it appear as though U.S. President Joe Biden is inappropriately touching his adult granddaughter’s chest, and which is accompanied by a caption describing him as a “pedophile.” ",Hate Speech,Feb,2024,2,left video on Facebook,upheld,"the content does not violate the company’s Manipulated Media policy because the clip does not show President Biden saying words he did not say, and it was not altered through AI. The current policy only prohibits edited videos showing people saying words they did not say (there is no prohibition covering individuals doing something they did not do) and only applies to video created through AI. According to Meta, a key characteristic of “manipulated media” is that it could mislead the “average” user to believe it is authentic and unaltered. In this case, the looping of one scene in the video is an obvious alteration. ",post remained online,This case is also categorized as Elections / Misinformation,," The Oversight Board has upheld Meta’s decision to leave up a video that was edited to make it appear as though U.S. President Joe Biden is inappropriately touching his adult granddaughter’s chest, and which is accompanied by a caption describing him as a “pedophile.” The Facebook post does not violate Meta’s Manipulated Media policy, which applies only to video created through artificial intelligence (AI) and only to content showing people saying things they did not say. Since the video in this post was not altered using AI and it shows President Biden doing something he did not do (not something he didn’t say), it does not violate the existing policy. Additionally, the alteration of this video clip is obvious and therefore unlikely to mislead the “average user” of its authenticity, which, according to Meta, is a key characteristic of manipulated media. Nevertheless, the Board is concerned about the Manipulated Media policy in its current form, finding it to be incoherent, lacking in persuasive justification and inappropriately focused on how content has been created, rather than on which specific harms it aims to prevent (for example, to electoral processes). Meta should reconsider this policy quickly, given the number of elections in 2024.

About the Case

In May 2023, a Facebook user posted a seven-second video clip, based on actual footage of President Biden, taken in October 2022, when he went to vote in person during the U.S. midterm elections. In the original footage, he exchanged “I Voted” stickers with his adult granddaughter, a first-time voter, placing the sticker above her chest, according to her instruction, and then kissing her on the cheek. In the video clip, posted just over six months later, the footage has been altered so that it loops, repeating the moment when the president’s hand made contact with his granddaughter’s chest to make it look like he is inappropriately touching her. The soundtrack to the altered video includes the lyric “Girls rub on your titties” from the song “Simon Says” by Pharoahe Monch, while the post’s caption states that President Biden is a “sick pedophile” and describes the people who voted for him as “mentally unwell.” Other posts containing the same altered video clip, but not the same soundtrack or caption, went viral in January 2023.

A different user reported the post to Meta as hate speech, but this was automatically closed by the company without any review. They then appealed this decision to Meta, which resulted in a human reviewer deciding the content was not a violation and leaving the post up. Finally, they appealed to the Board. 

The Oversight Board has upheld Meta’s decision to leave up the post.

The Board recommends that Meta:

    Reconsider the scope of its Manipulated Media policy to cover audio and audiovisual content, content showing people doing things they did not do (as well as saying things they did not say) and content regardless of how it was created or altered.
    Clearly define in a single unified Manipulated Media policy the harms it aims to prevent – beyond users being misled – such as preventing interference with the right to vote and to participate in the conduct of public affairs.
    Stop removing manipulated media when no other policy violation is present and instead apply a label indicating the content is significantly altered and could mislead. Such a label should be attached to the media (for example, at the bottom of a video) rather than the entire post and be applied to all identical instances of that media on Meta’s platforms. 

* Case summaries provide an overview of cases and do not have precedential value. ",Hate Speech / Bullying and harassment / Manipulated media,250,https://oversightboard.com/decision/FB-GW8BY1Y3/,77,Feb 2024
Fruit juice diet,The Extreme Fruit juice diet ,https://www.oversightboard.com/decision/FB-4294T386/,A woman shares her very positive first-hand results of a fruit juice-only diet. ,"two videos were posted to the same Facebook Page, described as featuring content on life, culture and food in Thailand. In both, a woman is interviewed by a man about her experience of following a diet only consisting of fruit juice. The conversations take place in Italian.

In the first video, the woman says that she has experienced increased mental focus, improved skin and bowel movement, happiness and a ""feeling of lightness"" since starting the diet, while she also shares that she previously suffered from skin problems and swollen legs. She brings up the issue of anorexia, but states that her weight has normalised, after she initially lost more than 10 kilograms (22 pounds) due to her dietary changes. Around five months later, the man interviews the woman again in a second video, asking how she feels almost a year into observing this fruit juice-only diet. She responds by saying she looks young for her age, that she has not lost any more weight except for ""four kilos of impurities"", and she encourages him to try the diet. She also states that she will become a ""fruitarian"" upon breaking her fast, but that she is thinking about starting a ""pranic journey"", which, according to her, means living ""on energy"" in place of eating or drinking regularly. ",misc,Oct,2023,10,"left contents on Facebook, after both posts were reported multiple times for violating Facebook's Suicide and Self-Injury Community Standard, and following human review that assessed the content as non-violating.",upheld,"The Board finds that neither of these posts violate the Suicide and Self-Injury Community Standard because they do not provide ""instructions for drastic and unhealthy weight loss when shared together with terms associated with eating disorders"", and do not ""promote, encourage, coordinate or provide instructions for eating disorders"". ",both post remained online,"Both the content creator's Facebook Page on which the two videos were posted and the Facebook Page of the woman shown in the videos are part of Meta's Partner Monetisation Programme. This means that the content creator and presumably the woman being interviewed earn money from posts on their Pages, when Meta displays ads on their content. For this to happen, the Pages would have passed an eligibility check and the content would have had to comply with both Meta's Community Standards and its Content Monetisation Policies. Within its Content Monetisation Policies, Meta prohibits certain categories from being monetised on its platforms, even if they do not violate the Community Standards.",,"The Oversight Board has upheld Meta's decisions to keep up two posts in which a woman shares her first-hand experience of a fruit juice-only diet. The Board agrees that neither violate Facebook's Suicide and Self-Injury Community Standard because they do not ""provide instructions for drastic and unhealthy weight loss"", nor do they ""promote"" or ""encourage"" eating disorders. However, as both pages involved in these two cases were part of Meta's Partner Monetisation Programme, the Board recommends that the company restrict ""extreme and harmful diet-related content"" in its Content Monetisation Policies.

About the cases

Between late 2022 and early 2023, two videos were posted to the same Facebook Page, described as featuring content on life, culture and food in Thailand. In both, a woman is interviewed by a man about her experience of following a diet only consisting of fruit juice. The conversations take place in Italian.

In the first video, the woman says that she has experienced increased mental focus, improved skin and bowel movement, happiness and a ""feeling of lightness"" since starting the diet, while she also shares that she previously suffered from skin problems and swollen legs. She brings up the issue of anorexia, but states that her weight has normalised, after she initially lost more than 10 kilograms (22 pounds) due to her dietary changes. Around five months later, the man interviews the woman again in a second video, asking how she feels almost a year into observing this fruit juice-only diet. She responds by saying she looks young for her age, that she has not lost any more weight except for ""four kilos of impurities"", and she encourages him to try the diet. She also states that she will become a ""fruitarian"" upon breaking her fast, but that she is thinking about starting a ""pranic journey"", which, according to her, means living ""on energy"" in place of eating or drinking regularly.

Between them, the posts were viewed more than 2,000,000 times and received over 15,000 comments. The videos share details of the woman's Facebook Page, which experienced a significant increase in interactions following the second post.

After both posts were reported multiple times for violating Facebook's Suicide and Self-Injury Community Standard, and following human review that assessed the content as non-violating, they remained on Facebook. A separate user in each case then appealed Meta's decision to the Board.

Both the content creator's Facebook Page on which the two videos were posted and the Facebook Page of the woman shown in the videos are part of Meta's Partner Monetisation Programme. This means that the content creator and presumably the woman being interviewed earn money from posts on their Pages, when Meta displays ads on their content. For this to happen, the Pages would have passed an eligibility check and the content would have had to comply with both Meta's Community Standards and its Content Monetisation Policies. Within its Content Monetisation Policies, Meta prohibits certain categories from being monetised on its platforms, even if they do not violate the Community Standards. 

The Oversight Board upholds Meta's decisions to leave up the two posts.

The Board recommends that Meta:

    Restrict extreme and harmful diet-related content in its Content Monetisation Policies to avoid creating financial incentives for influential users to create harmful content.

* Case summaries provide an overview of cases and do not have precedential value. ",Suicide and self-injury,100,https://www.oversightboard.com/decision/FB-4294T386/,76,Oct 2023
Communal Violence in Indian State of Odisha,Violence between Hindus & Muslims in India,https://www.oversightboard.com/decision/FB-515JVE4X/,A video of communal violence in the Indian state of Odisha was removed after a request from local law enforcement.,"A Facebook user posted a video of an event from the previous day that depicts a religious procession in Sambalpur in the Indian state of Odisha related to the Hindu festival of Hanuman Jayanti. The video caption reads “Sambalpur,” which is a town in Odisha, where communal violence broke out between Hindus and Muslims during the festival. ",Violence / Incitement / Graphic Content,Nov,2023,11,"removed the content. After receiving a request from Odisha law enforcement to remove an identical video, posted by another user with a different caption. Meta found that the post violated the spirit of its Violence and Incitement Community Standard and added the video to a Media Matching Service bank. This locates and flags for possible action content that is identical or nearly identical to previously flagged photos, videos, or text. ",upheld,"the post violated the Violence and Incitement Community Standard which prohibits “content that constitutes a credible threat to public or personal safety.” The majority of the Board finds that given the ongoing violence in Odisha at the time, and the fact that no policy exceptions applied, the content posed a serious and likely risk of furthering violence. A minority of the Board believes that the post could be properly removed under Meta’s Violence and Incitement Community Standard, but for a different reason. As the video depicted a past incident of incitement with no contextual clues indicating that a policy exception should apply, and similar content was being shared with the aim of inciting violence, Meta was justified in removing the content. ",post was removed,,," The Oversight Board has upheld Meta’s decision to remove a Facebook post containing a video of communal violence in the Indian state of Odisha. The Board found that the post violated Meta’s rules on violence and incitement. The majority of the Board also concludes that Meta’s decision to remove all identical videos across its platforms was justified in the specific context of heightened tensions and ongoing violence in the state of Odisha. While the content in this case was not covered by any policy exceptions, the Board urges Meta to ensure that its Violence and Incitement Community Standard allows content that “condemns or raises awareness of violent threats.”

About the Case

In April 2023, a Facebook user posted a video of an event from the previous day that depicts a religious procession in Sambalpur in the Indian state of Odisha related to the Hindu festival of Hanuman Jayanti. The video caption reads “Sambalpur,” which is a town in Odisha, where communal violence broke out between Hindus and Muslims during the festival.

The video shows a procession crowd carrying saffron-colored flags, associated with Hindu nationalism, and chanting “Jai Shri Ram” - which can be translated literally as “Hail Lord Ram” (a Hindu god). In addition to religious contexts where the phrase is used to express devotion to Ram, the expression has been used in some circumstances to promote hostility against minority groups, especially Muslims. The video then zooms into a person standing on the balcony of a building along the route of the procession who is shown throwing a stone at the procession. The crowd then pelts stones towards the building amidst chants of “Jai Shri Ram,” “bhago” (which can be translated as “run”) and “maro maro” (which can be translated as “hit” or “beat”). The content was viewed about 2,000 times and received fewer than 100 comments and reactions.

Following the violence that broke out during the religious procession shown in the video, the Odisha state government shut down internet services, blocked social media platforms, and imposed a curfew in several areas of Sambalpur. In the context of the violence that broke out during the procession, shops were reportedly set on fire and a person was killed.

Shortly after the events depicted in the video, Meta received a request from Odisha law enforcement to remove an identical video, posted by another user with a different caption. Meta found that the post violated the spirit of its Violence and Incitement Community Standard and added the video to a Media Matching Service bank. This locates and flags for possible action content that is identical or nearly identical to previously flagged photos, videos, or text.

Meta informed the Board that the Media Matching Service bank was set up to globally remove all instances of the video, regardless of the caption, given the safety risks posed by this content. This blanket removal applied to all identical videos, even if they fell within Meta’s exceptions for awareness raising, condemnation, and news reporting. The Board noted that, given the settings of the Media Matching Service bank, many pieces of content identical to this video have been removed in the months that followed the events in Sambalpur, Odisha.

Through the Media Matching Service bank, Meta identified the content at issue in this case and removed it, citing its rules prohibiting “[c]alls for high-severity violence including […] where no target is specified but a symbol represents the target and/or includes a visual of an armament or method that represents violence.” 

 The Oversight Board upholds Meta’s decision to remove the content.

The Board reiterates recommendations from previous cases that Meta:

- Ensure that the Violence and Incitement Community Standard allows content containing statements with “neutral reference to a potential outcome of an action or an advisory warning,” and content that “condemns or raises awareness of violent threats.”
- Provide more clarity to users and explain in the landing page of the Community Standards, in the same way the company does with the newsworthiness allowance, that allowances to the Community Standards may be made when their rationale, and Meta’s values, demand a different outcome than a strict reading of the rules. The Board also reiterates its prior recommendation to Meta to include a link to a Transparency Center page which provides information about the “spirit of the policy” allowance. 

* Case summaries provide an overview of cases and do not have precedential value. ",Violence / Incitement,75,https://www.oversightboard.com/decision/FB-515JVE4X/,69,Nov 2023
Armenian Prisoners of War Video,Abuse of Armenian POWs,https://oversightboard.com/decision/FB-YLRV35WD/,"A video depicting Azerbaijani soldiers torturing Armenian soldiers was left up due to ""newsworthiness"".","In October 2022, a Facebook user posted a video on a Page that identifies itself as documenting alleged war crimes committed by Azerbaijan against Armenians in the context of the Nagorno-Karabakh conflict. This conflict reignited in September 2020 and escalated into fighting in Armenia in September 2022, leaving thousands dead and hundreds of people missing.",Violence / Incitement / Graphic Content,June,2023,6,"applied the newsworthiness allowance to allow the content to remain on Facebook, and the contents of the video required a ""mark as disturbing"" warning screen.",upheld,posting violent content allowed in the case of conflict based on 'newsworthiness',post remained on FB with a content warning,The Board agrees with Meta that the public interest value in keeping the content on the platform with a warning screen outweighed the risk to the safety and dignity of the prisoners of war.,0,"The Oversight Board has upheld Meta's decision to leave up a Facebook post that included a video depicting identifiable prisoners of war and add a ""mark as disturbing"" warning screen to the video. The Board found that Meta correctly applied a newsworthiness allowance to the post, which would have otherwise been removed for violating its Coordinating Harm and Promoting Crime Community Standard. However, the Board recommends that Meta strengthen internal guidance around reviewing this type of content and develop a protocol for preserving and sharing evidence of human rights violations with the appropriate authorities.

About the case

In October 2022, a Facebook user posted a video on a Page that identifies itself as documenting alleged war crimes committed by Azerbaijan against Armenians in the context of the Nagorno-Karabakh conflict. This conflict reignited in September 2020 and escalated into fighting in Armenia in September 2022, leaving thousands dead and hundreds of people missing.

The video begins with a user-inserted age warning that it is only suitable for people over the age of 18, and an English text, which reads ""Stop Azerbaijani terror. The world must stop the aggressors."" The video appears to depict a scene where prisoners of war are being captured.

It shows several people who appear to be Azerbaijani soldiers searching through rubble, with their faces digitally obscured with black squares. They find people in the rubble who are described in the caption as Armenian soldiers, whose faces are left unobscured and identifiable. Some appear to be injured, others appear to be dead. The video ends with an unseen person, potentially the person filming, continuously shouting curse words and using abusive language in Russian and Turkish at an injured soldier sitting on the ground.

In the caption, which is in English and Turkish, the user states that the video depicts Azerbaijani soldiers torturing Armenian prisoners of war. The caption also highlights the July 2022 gas deal between the European Union and Azerbaijan to double gas imports from Azerbaijan by 2027.",Coordinating Harm and Publicising Crime,150,https://oversightboard.com/decision/FB-YLRV35WD/,38,June 2023
Sri Lanka Pharmaceuticals,Should people be encourage to donate needed medicines?,https://oversightboard.com/decision/FB-CZHY85JC/,A request to send pharmaceuticals to Sri Lanka during the country's crisis was allowed to circulate on FB despite contravening rules around pharmaceuticals.,A post requesting pharmaceutical donations to Sri Lanka during the country's financial crisis,misc,March,2022,3,"decided to allow content seeking to donate, gift or ask for pharmaceutical drugs in Sri Lanka between 27 April and 10 November 2022 due to the severe political, economic and healthcare crisis in Sri Lanka at that time ",upheld,"requesting pharmaceutical donations violates its Restricted Goods and Services Community Standard, which prohibits content that asks for pharmaceutical drugs.",post remained on FB,"Since 10 November 2022, when the allowance ended, Meta reviews any content attempting to donate, gift or ask for pharmaceutical drugs in Sri Lanka against the Restricted Goods and Services policy and enforces the policy without the allowance.",0,"The Oversight Board has upheld Meta's decision to leave a Facebook post up that is asking for donations of pharmaceutical drugs to Sri Lanka during the country's financial crisis. However, the Board has found that secret, discretionary policy exemptions are incompatible with Meta's human rights responsibilities, and has made recommendations to increase transparency and consistency around the ""spirit of the policy"" allowance. This allowance permits content where a strict reading of a policy produces an outcome that is at odds with that policy's intent.

About the case

In April 2022, an image was posted on the Facebook Page of a medical trade union in Sri Lanka, asking for people to donate drugs and medical products to the country, and providing a link for them to do so.

At the time, Sri Lanka was in the midst of a severe political and financial crisis, which emptied the country's foreign currency reserves. As a result, Sri Lanka, which imports 85% of its medical supplies, did not have the funds to import drugs. Doctors reported that hospitals were running out of medicine and essential supplies, and said they feared an imminent health catastrophe.

The Meta teams responsible for monitoring risk during the Sri Lanka crisis identified the content in this case. The company found that the post violated its Restricted Goods and Services Community Standard, which prohibits content that asks for pharmaceutical drugs but applied a scaled ""spirit of the policy"" allowance.

""Spirit of the policy"" allowances permit content where the policy rationale, and Meta's values, demand a different outcome to a strict reading of the rules. Scaled allowances apply to entire categories of content, rather than just individual posts. The rationale for the Restricted Goods and Services policy includes ""encouraging safety"". Meta referred this case to the Board.",Undefined,75,https://oversightboard.com/decision/FB-CZHY85JC/,36,March 2022
Tigray Communication Affairs Bureau,Violence in Tigray,https://oversightboard.com/decision/FB-E1154YLY/,A post threatening violence against Ethiopia's Prime Minister and forces was removed.,"During a period of increasing violence in Ethiopia, a post on the official Tigray Regional State's Communication Affairs Bureau encouraged the national army to turn against the prime minister and his supporters. The post also urged the government forces to surrender and says they'll die if they refuse.",Violence / Incitement / Graphic Content,Feb,2022,2,"removed the post because the content violated Meta's CS on violence and incitement and removing it was in line with its human rights responsibilities. The post said to ""turn its gun"" towards ""Abiy Ahmed"" – Ethiopia's PM. It also threatens govt forces with death",upheld,the conflict in Ethiopia is marked by sectarian violence – high risk the post could lead to more violence. Removal is necessary due to CS on violence and incitement,Post was removed,,7,"The Oversight Board has upheld Meta's decision to remove a post threatening violence in the conflict in Ethiopia. The content violated Meta's Community Standard on violence and incitement and removing it is in line with the company's human rights responsibilities. Overall, the Board found that Meta must do more to meet its human rights responsibilities in conflict situations and makes policy recommendations to address this.

About the case

4 February 2022, Meta referred a case to the Board concerning content posted on Facebook during a period of escalating violence in the conflict in Ethiopia, where Tigrayan and government forces have been fighting since November 2020.

The post appeared on the official page of the Tigray Regional State's Communication Affairs Bureau and was viewed more than 300,000 times. It discusses the losses suffered by federal forces and encourages the national army to ""turn its gun"" towards the ""Abiy Ahmed group"". Abiy Ahmed is Ethiopia's Prime Minister. The post also urges government forces to surrender and says they will die if they refuse.

After being reported by users and identified by Meta's automated systems, the content was assessed by two Amharic-speaking reviewers. They determined that the post did not violate Meta's policies and left it on the platform.

At the time, Meta was operating an Integrity Product Operations Centre (IPOC) for Ethiopia. IPOCs are used by Meta to improve moderation in high-risk situations. They operate for a short time (days or weeks) and bring together experts to monitor Meta's platforms and address any abuse. Through the IPOC, the post was sent for expert review, found to violate Meta's violence and incitement policy, and then removed two days later.
",Violence and Incitement,100,https://oversightboard.com/decision/FB-E1154YLY/,33,Feb 2022
India Sexual Harassment Video,Is footage of sexual assault newsworthy?,https://oversightboard.com/decision/IG-KFLY3526/,An Instagram post containing a video of a woman being sexually assaulted by a group of men was removed.,"A video from India showing an Adivasi woman (referred to as a 'tribal woman' in the video) being assaulted by a group of men, shared on an Instagram account focused on Dalit perspectives.",Nudity & sexual activity,March,2022,3,"removed post because it shows a group of ""dalit"" men sexually assaulting a ""tribal woman"" - this violates Adult Sexual Exploitation policy. On review, a ""newsworthiness allowance"" was put on the post, restoring the content with a warning screen and 18+ limit",upheld,"dalit and adivasi people (esp women) suffer discrimination and crime in India - content in post raises awareness. Post has public interest value. Does not contain explicit content or nudity, victim unidentifiable",Post was restored with a warning screen,,11,"The Board has upheld Meta's decision to restore a post to Instagram containing a video of a woman being sexually assaulted by a group of men. The Board has found that Meta's ""newsworthiness allowance"" is inadequate in resolving cases such as this at scale and that the company should introduce an exception to its Adult Sexual Exploitation policy.

About the case

In March 2022, an Instagram account describing itself as a platform for Dalit perspectives posted a video from India showing a woman being assaulted by a group of men. ""Dalit"" people have previously been referred to as ""untouchables"", and have faced oppression under the caste system. The woman's face is not visible in the video and there is no nudity. The text accompanying the video states that a ""tribal woman"" was sexually assaulted in public, and that the video went viral. ""Tribal"" refers to indigenous people in India, also referred to as Adivasi.

After a user reported the post, Meta removed it for violating the Adult Sexual Exploitation policy, which prohibits content that ""depicts, threatens or promotes sexual violence, sexual assault or sexual exploitation"".

A Meta employee flagged the content removal via an internal reporting channel upon learning about it on Instagram. Meta's internal teams then reviewed the content and applied a ""newsworthiness allowance"". This allows otherwise violating content to remain on Meta's platforms if it is newsworthy and in the public interest. Meta restored the content, placing the video behind a warning screen which prevents anyone under the age of 18 from viewing it, and later referred the case to the Board.",Sexual Exploitation of Adults,50,https://oversightboard.com/decision/IG-KFLY3526/,29,March 2022
South Africa Slur,South Africa slur,https://www.oversightboard.com/decision/FB-TYE2766G,"A post claiming white minority control in post-Apartheid South Africa, using racial slurs, was removed.","A FB post that discussed ""multi-racialism"" in South Africa. It made the claim that white people are still in control post-Apartheid, and used racial slurs to describe the current state of affairs for black folks.",Hate Speech,Sept,2021,9,"Post was removed for violating its policy prohibiting the use of slurs targeted at people based on race, ethnicity and/or national origin. The used of the K-word and N-word are on FB's list of prohibited slurs for the Sub-Saharan market",upheld,"They claim that the k-word and n-word have discriminatory uses, and that the k-word is particularly harmful in the SA context",post was removed,"While the user's post discussed relevant and challenging socio-economic and political issues in South Africa, the user racialised this critique by choosing the most severe terminology possible in the country.",6,"The Oversight Board has upheld Facebook's decision to remove a post discussing South African society under its Hate Speech Community Standard. The Board found that the post contained a slur which, in the South African context, was degrading, excluding and harmful to the people it targeted.

About the case

In May 2021, a Facebook user posted in English in a public group that described itself as focused on unlocking minds. The user's Facebook profile picture and banner photo each depict a black person. The post discussed ""multi-racialism"" in South Africa, and argued that poverty, homelessness and landlessness have increased for black people in the country since 1994.

It stated that white people hold and control the majority of the wealth, and that wealthy black people may have ownership of some companies, but not control. It also stated that if ""you think"" sharing neighbourhoods, language and schools with white people makes you ""deputy-white"" then ""you need to have your head examined."" The post then concluded with ""[y]ou are"" a ""sophisticated slave"", ""a clever black"", ""'n goeie kaffir"" or ""House nigger"" (hereafter redacted as ""k***ir"" and ""n***er"").",Hate Speech,50,https://www.oversightboard.com/decision/FB-TYE2766G,25,Sept 2021
Former President Trump's Suspension,Former President Trump's Suspension,https://oversightboard.com/decision/FB-691QAMHJ/,Two of Donald Trump's posts promoting electoral fraud and calls for action were taken down.,"Former President Trump posted a video on FB and Instagram during the Capitol Riots on 6 Jan 2021 which was taken down, and then wrote a post. Both were removed, and he was blocked from posting for 24 hours. They then blocked him indefinitely from FB. FB also found 5 other violations on the DJT FB page",Dangerous individuals / organisations,Jan,2021,1,Took down his posts and suspended his account indefinitely because they violate FB's Community Standards on dangerous individuals and organisations.,upheld,The Board found that 2 of his posts on 6 Jan violated FB and Insta community standards prohibiting praise or support of people engaged in violence. They determined his posts about electoral fraud created a clear and immediate risk of harm.,"Mr. Trump remained suspended, but The Board asked FB to define Trump's suspension and to look at it again in 6 months","The Board stated that it is not always useful to draw a firm distinction between political leaders and other influential users, recognising that other users with large audiences can also contribute to serious risks of harm.",9666,"The Board has upheld Facebook's decision, on 7 January 2021, to restrict then-President Donald Trump's access to posting content on his Facebook Page and Instagram account.

However, it was not appropriate for Facebook to impose the indeterminate and standardless penalty of indefinite suspension. Facebook's normal penalties include removing the violating content, imposing a time-bound period of suspension, or permanently disabling the Page and account.

The Board insists that Facebook review this matter to determine and justify a proportionate response that is consistent with the rules that are applied to other users of its platform. Facebook must complete its review of this matter within six months of the date of this decision. The Board also made policy recommendations for Facebook to implement in developing clear, necessary and proportionate policies that promote public safety and respect freedom of expression.

About the case

Elections are a crucial part of democracy. On 6 January 2021, during the counting of the 2020 electoral votes, a mob forcibly entered the Capitol Building in Washington, DC. This violence threatened the constitutional process. Five people died and many more were injured during the violence. During these events, then-President Donald Trump posted two pieces of content.

At 16:21 Eastern Standard Time, as the riot continued, Mr Trump posted a video on Facebook and Instagram:

I know your pain. I know you're hurt. We had an election that was stolen from us. It was a landslide election, and everyone knows it, especially the other side, but you have to go home now. We have to have peace. We have to have law and order. We have to respect our great people in law and order. We don't want anybody hurt. It's a very tough period of time. There's never been a time like this where such a thing happened; where they could take it away from all of us, from me, from you, from our country. This was a fraudulent election, but we can't play into the hands of these people. We have to have peace. So go home. We love you. You're very special. You've seen what happens. You see the way others are treated that are so bad and so evil. I know how you feel. But go home and go home in peace.

At 17:41 Eastern Standard Time, Facebook removed this post for violating its Community Standard on dangerous individuals and organisations.

At 18:07 Eastern Standard Time, as police were securing the Capitol, Mr Trump posted a written statement on Facebook:

These are the things and events that happen when a sacred landslide election victory is so unceremoniously and viciously stripped away from great patriots who have been badly and unfairly treated for so long. Go home with love in peace. Remember this day forever!

At 18:15 Eastern Standard Time, Facebook removed this post for violating its Community Standard on dangerous individuals and organisations. It also blocked Mr Trump from posting on Facebook or Instagram for 24 hours.

On 7 January, after further reviewing Mr Trump's posts, his recent communications off Facebook and additional information about the severity of the violence at the Capitol, Facebook extended the block ""indefinitely and for at least the next two weeks until the peaceful transition of power is complete"".

On 20 January, with the inauguration of President Joe Biden, Mr Trump ceased to be the president of the United States.

On 21 January, Facebook announced that it had referred this case to the Board. Facebook asked whether it had correctly decided on 7 January to prohibit Mr Trump's access to posting content on Facebook and Instagram for an indefinite amount of time. The company also requested recommendations about suspensions when the user is a political leader.

In addition to the two posts on 6 January, Facebook previously found five violations of its Community Standards in organic content posted on the Donald J. Trump Facebook Page, three of which were within the last year. While the five violating posts were removed, no account-level sanctions were applied.",Dangerous Individuals and Organisations,450,https://oversightboard.com/decision/FB-691QAMHJ/,24,Jan 2021
COVID-19 Lockdowns in Brazil,"""Lockdowns are ineffective""",https://oversightboard.com/decision/FB-B6NGYREK/,A Brazilian medical council's post claiming that the World Health Organisation condemned lockdowns was kept up.,The FB page of a state-level medical council posted a photo of a written notice on COVID-19 reduction measures that criticised the Brasilian government's response to the COVID pandemic.,Violence / Incitement / Graphic Content,March,2021,3,decided that the post did not violate CS and kept the post up,upheld,"there was some inaccurate information, but did not create a risk of ""imminent harm""",post remained on FB,,30,"The Oversight Board has upheld Facebook's decision to leave up a post by a state-level medical council in Brazil, which claimed that lockdowns are ineffective and had been condemned by the World Health Organization (WHO).

The Board found that Facebook's decision to keep the content on the platform was consistent with its content policies. The Board found that the content contained some inaccurate information, which raises concerns considering the severity of the pandemic in Brazil and the council's status as a public institution. However, the Board found that the content did not create a risk of imminent harm and should, therefore, stay on the platform. Finally, the Board emphasised the importance of measures other than removal to counter the spread of COVID-19 misinformation to be adopted under certain circumstances, such as those in this case.

About the case

In March 2021, the Facebook Page of a state-level medical council in Brazil posted a picture of a written notice on measures to reduce the spread of COVID-19, entitled ""Public note against lockdown"".

The notice claims that lockdowns are ineffective, against fundamental rights in the Constitution and condemned by the WHO. It includes an alleged quote from Dr David Nabarro, a WHO special envoy for COVID-19, stating that ""the lockdown does not save lives and makes poor people much poorer."" The notice claims that the Brazilian state of Amazonas had an increase in deaths and hospital admissions after lockdown as evidence of the failure of lockdown restrictions. The notice claims that lockdowns would lead to greater mental disorders, alcohol and drug abuse, and economic damage, amongst other things. It concludes that effective preventative measures against COVID-19 include education campaigns about hygiene, masks, social distancing, vaccination and government monitoring – but never lockdowns.

The Page has over 10,000 followers. The content was viewed around 32,000 times and shared around 270 times. No users reported the content. Facebook took no action against the content and referred the case to the Board. The content remains on the platform.",Violence and Incitement,50,https://oversightboard.com/decision/FB-B6NGYREK/,20,March 2021
